,Title,Year,Age,IMDb,Netflix,Genres,Country,Language
1692,Nate Bargatze: The Tennessee Kid,2019,,7.6,1.0,Comedy,United States,English
1694,Sebastian Maniscalco: Stay Hungry,2019,18,7.1,1.0,Comedy,United States,English
1701,Uma Maheswara Ugra Roopasya,2020,,7.8,1.0,Drama,India,Telugu
1722,Dave Chappelle: The Kennedy Center Mark Twain Prize,2020,18,7.5,1.0,Comedy,United States,English
1738,Jeff Dunham: Beside Himself,2019,18,6.9,1.0,Comedy,United States,English
1739,Happy Anniversary,2018,18,5.7,1.0,Comedy,United States,English
1765,Badland,2019,-18,5.5,1.0,Western,United States,English
1777,In Our Mothers' Gardens,2021,,8.9,1.0,Documentary,United States,English
1792,Iliza Shlesinger: Unveiled,2019,18,6.5,1.0,Comedy,United States,English
1795,Recovery Boys,2018,,6.6,1.0,Documentary,United States,English
1801,Greg Davies: You Magnificent Beast,2018,18,7.2,1.0,Comedy,United Kingdom,English
1814,Weed the People,2018,,7.3,1.0,Documentary,United States,English
1818,Oprah Winfrey Presents: When They See Us Now,2019,-18,7.7,1.0,Talk-Show,United States,English
1825,Héroes. Silencio y Rock & Roll,2021,,7.5,1.0,Documentary,Spain,Spanish
1859,Yeh B-18et,2020,-18,7.6,1.0,Drama,India,Hindi
1903,Ronnie Coleman: The King,2018,,7.0,1.0,Documentary,United States,English
1908,Whitney Cummings: Can I Touch It?,2019,,6.5,1.0,Comedy,,English
1912,Cracked Up: The Darrell Hammond Story,2019,18,7.3,1.0,Documentary,United States,English
1917,Jo Koy: Comin’ In Hot,2019,,7.3,1.0,Comedy,United States,English
1919,Every Time I Die,2020,,5.2,1.0,Thriller,United States,English
1935,Chris D'Elia: No Pain,2020,,5.9,1.0,Comedy,United States,English
1957,Secret Obsession,2019,-18,4.4,1.0,Thriller,United States,English
1960,Murder to Mercy: The Cyntoia Brown Story,2020,,6.4,1.0,Documentary,United States,English
1962,Carnaval,2021,,3.9,1.0,Comedy,Brazil,Portuguese
1968,Kandasamys The Wedding,2019,,6.0,1.0,Comedy,South Africa,English
2013,Russell Brand: Re:Birth,2018,,6.6,1.0,Comedy,,English
2014,Creating an Army of the Dead,2021,18,,1.0,,,
2025,Fortune Feimster: Sweet & Salty,2020,,6.9,1.0,Comedy,United States,English
2030,Gad Elmaleh: American Dream,2018,-18,7.2,1.0,Comedy,United States,English
2039,Mehandi Circus,2019,,7.4,1.0,Drama,India,Tamil
2049,What We Wanted,2020,18,5.8,1.0,Drama,Austria,German
2051,Michael McIntyre: Showman,2020,18,7.2,1.0,Comedy,United Kingdom,English
2061,Lady Driver,2020,-18,5.9,1.0,Sport,United States,English
